Project.Proponent,Agent,Significantly involved persons,Project Name,Project ID,Method,Method URL,Method.Type,Project Description,Project activities,"Project suppressors, if applicable",Date Project Registered,Crediting period start date,Crediting period end date,Project location,Project location (postcode),"Project Area(s), where the project is an area based offsets project",Project Mapping File URL,Carbon Estimation Area mapping file URL,Carbon Estimation Area Supplementary information,"If the area-based project is covered by a regional natural resource management plan, is it consistent with that plan?",Joint Implementation project,Is the project area or project areas subject to a Carbon Maintenance Obligation (CMO)?,Conditional upon all regulatory approvals being obtained,Conditional upon the written consent of relevant interest holders,"Nominated Permanence Period, if applicable","Start date of permanence period, if applicable","Finish date of permanence period, if applicable",Contracted on,Contract ID,ACCUs Total units issued,KACCUs Total units issued,KACCUs Units Issued in Financial Year 2012/13,KACCUs Units Issued in Financial Year 2013/14,KACCUs Units Issued in Financial Year 2014/15,KACCUs Units Issued in Financial Year 2015/16,KACCUs Units Issued in Financial Year 2016/17,KACCUs Units Issued in Financial Year 2017/18,KACCUs Units Issued in Financial Year 2018/19,KACCUs Units Issued in Financial Year 2019/20,KACCUs Units Issued in Financial Year 2020/21,KACCUs Units Issued in Financial Year 2021/22,KACCUs Units Issued in Financial Year 2022/23,KACCUs Units Issued in Financial Year 2023/24,KACCUs Units Issued in Financial Year 2024/25,Name of person/s to whom the KACCUs issued,Total Number of KACCUs units relinquished,NKACCUs Total units issued,NKACCUs Units Issued in Financial Year 2012/13,NKACCUs Units Issued in Financial Year 2013/14,NKACCUs Units Issued in Financial Year 2014/15,NKACCUs Units Issued in Financial Year 2015/16,NKACCUs Units Issued in Financial Year 2016/17,NKACCUs Units Issued in Financial Year 2017/18,NKACCUs Units Issued in Financial Year 2018/19,NKACCUs Units Issued in Financial Year 2019/20,NKACCUs Units Issued in Financial Year 2020/21,NKACCUs Units Issued in Financial Year 2021/22,NKACCUs Units Issued in Financial Year 2022/23,NKACCUs Units Issued in Financial Year 2023/24,NKACCUs Units Issued in Financial Year 2024/25,Name of person/s to whom the NKACCUs issued,Total Number of NKACCUs units relinquished,Notes,Project revoked,proponent_country_manual
"Department of Planning, Industry and Environment",CO2 AUSTRALIA Pty Ltd,n/a,Environmental Plantings in NPWS Reserves - Pilot Project stage 2,ERF111113,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00581,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,22/02/2017,20/08/2018,19/08/2043,New South Wales,"2360, 2440, 2460, 2675, 2715, 2846, 2848, 2849","1/DP755757, 10/DP750104, 107/DP751377, 108/DP754423, 11/DP111927, 11/DP750104, 11/DP750107, 112/DP751377, 12/DP750104, 12/DP750107, 13/DP750104, 13/DP755786, 14/DP111927, 14/DP755757, 145/DP755757, 15/DP722479, 154/DP722292, 170/DP754423, 175/DP751386, 2/1106500, 2/DP739046, 2/DP755757, 20/DP750107, 211/DP751377, 240/DP751386, 241/DP751386, 242/DP751386, 243/DP751386, 26/752988, 271/DP751386, 273/DP751386, 274/DP751386, 29/DP704046, 300/DP751386, 301/DP751386, 303/DP751386, 304/DP751386, 31/DP704046, 32/751172, 33/751172, 34/751172, 340/DP751386, 341/DP751386, 342/DP751386, 343/DP751386, 344/DP751386, 35/DP1023368, 4/DP1199853, 4/DP751123, 43/DP751123, 46/752988, 4858/769399, 5/DP1199853, 55/DP755763, 6/135197, 66/DP722329, 67/DP722329, 83/DP754423, 84/DP754423, 88/DP755757

The project is in the CLARENCE VALLEY COUNCIL,INVERELL SHIRE COUNCIL,KEMPSEY SHIRE COUNCIL,LITHGOW CITY COUNCIL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF111113.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF111113_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,1/8/23,31/07/2123,1/4/17,CAC982056,15527,15527,0,0,0,0,0,0,0,0,0,0,0,15527,0,Department of Planning and Environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"29/05/2018 Variation to the project area - areas have been added to the project

06/11/2019 Variation to the project area - Areas have been added to the project and areas listed in the project have been removed",No,Australia
"Department of Planning, Industry and Environment",CO2 AUSTRALIA Pty Ltd,n/a,Human Induced Regeneration in NPWS Reserves - Pilot Project 2 (Revoked),ERF103410,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2),https://www.legislation.gov.au/Details/F2016C00281,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Exclusion of livestock; Management of plants that are not native to the project area; Management, in a humane manner, of feral animals",Feral Animals; Livestock; Plants not native to the area,13/09/2016,13/09/2016,12/9/41,New South Wales,"2831, 2833","10/DP751621, 13/DP751621, 14/DP751621, 15/DP751621, 17/DP751621, 1802/DP763676, 19/DP751621, 20/DP751621, 3171/DP765376, 3174/DP765379, 4/DP751550, 5/DP751621, 6/DP751621, 8/DP751621, 9/DP751621

 The project is in the WALGETT SHIRE COUNCIL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF103410.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"29/03/2017   Variation to the project area - areas have been added to the project

21/02/2019 Variation to the project area - areas listed in the project have been removed

06/11/2019 Variation to the project area - areas listed in the project have been removed

21/09/2022 This project has been revoked under section 30 of the CFI Rule.",Yes,Australia
"Department of Planning, Industry and Environment",CO2 AUSTRALIA Pty Ltd,n/a,Environmental Plantings in NPWS Reserves - Pilot Project 1,ERF103397,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00581,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,26/04/2016,9/9/17,8/9/42,New South Wales,"2400, 2440,  2582, 2623, 2627, 2633","13/DP756815, 15/DP756815, 114/DP752431, 14/DP756815, 17/DP750465, 113/DP752431, 19/DP756815, 19/DP750465, 5/DP236569, 15/DP750567, 32/DP750567, 42/DP752424, 1/DP594173, 16/DP756815, 13/DP750567, 12/DP750567, 14/DP750567, 40/DP1165979, 20/DP750567, 3/DP751821, 43/DP750567, 6/DP756815, 23/DP756815, 57/DP750567, 43/DP752424

The project is in the Bombala,Cooma-Monaro,Kempsey,Moree Plains,Snowy River,Yass Valley local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF103397.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF103397_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,30/11/2020,29/11/2120,1/4/16,CAC558798,24197,24197,0,0,0,0,0,0,0,0,171,0,0,24026,0,Department of Planning and Environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,10/07/2018 Variation to the project area - areas listed in the project have been amended.,No,Australia
"Department of Planning, Industry and Environment",Terra Carbon Pty Limited,n/a,Brindingabba Human-Induced Regeneration Project,EOP101242,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,5/6/15,1/1/12,31/12/2036,New South Wales,2840,"3842/DP766285, 3914/DP766387

The project is in the Bourke local government area.",https://cer.gov.au/sites/default/files/projectFiles/EOP101242.kml,https://cer.gov.au/sites/default/files/projectFiles/EOP101242_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,11/11/15,10/11/15,1/4/16,CAC102104,352389,352389,0,0,0,112637,63695,41323,0,51803,33879,32196,16856,0,0,"Terra Carbon Pty Limited; Department of Planning, Industry and Environment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"17/11/2022 Variation to participant name - from Terra Carbon Pty Limited to the Department of Planning, Industry and Environment.

25/09/2023 Variation of project method - from Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest - 1.1) Methodology Determination 2013 (Compilation No. 1) to Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest - 1.1) Methodology Determination 2013 (Compilation No. 3).",No,Australia
DEVINE AGRIBUSINESS CARBON PTY LTD,n/a,n/a,Canegrass Carbon Farming Project 4,ERF191804,Carbon Credits (Carbon Farming Initiative) (Native Forest from Managed Regrowth) Methodology Determination 2013 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00119,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was subject to at least one comprehensive clearing for pastoral use.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth","Mechanical or chemical destruction, or suppression, of regrowth",19/03/2024,19/03/2024,18/03/2049,Queensland,4470,"14/SP103329
 
The project is in the MURWEH SHIRE local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF191804.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
DEVINE AGRIBUSINESS CARBON PTY LTD,n/a,n/a,Southern Rivers Conservation Initiative Site #9,ERF187405,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth; Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals","Feral Animals; Livestock; Mechanical or chemical destruction, or suppression, of regrowth",23/09/2023,23/09/2023,22/09/2048,Queensland,4470,"12/SP118787, 1263/CPPH852
 
The project is in the MURWEH SHIRE local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF187405.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
DEVINE AGRIBUSINESS CARBON PTY LTD,n/a,n/a,DAC-2018-01,ERF120875,Carbon Credits (Carbon Farming Initiative) (Native Forest from Managed Regrowth) Methodology Determination 2013 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00119,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was subject to at least one comprehensive clearing for pastoral use.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth","Mechanical or chemical destruction, or suppression, of regrowth",9/4/18,9/4/18,8/4/43,Queensland,4488,"3/CPNB54

The project is in the BALONNE SHIRE local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF120875.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF120875_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,6/11/18,5/11/18,n/a,n/a,52255,52255,0,0,0,0,0,0,34664,4790,4550,4201,4050,0,0,Devine Agribusiness Carbon Pty Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
DEVINE AGRIBUSINESS CARBON PTY LTD,n/a,n/a,DAC-2017-01,ERF104443,Carbon Credits (Carbon Farming Initiative) (Native Forest from Managed Regrowth) Methodology Determination 2013 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00578,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was subject to at least one comprehensive clearing for pastoral use.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth","Mechanical or chemical destruction, or suppression, of regrowth",18/12/2017,18/12/2017,17/12/2042,Queensland,4470,"1/CPPO38, 3/CPPO40, 1/CPBUR49, 1/CPBUR101, 2/CPPO39

The project is in the MURWEH SHIRE local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF104443.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF104443_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,18/03/2019,17/03/2119,n/a,n/a,90576,90576,0,0,0,0,0,0,43148,9139,8811,8199,7890,0,13389,Devine Agribusiness Carbon Pty Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
DEVINE AGRIBUSINESS CARBON PTY LTD,n/a,n/a,DAC-2016-01,ERF104441,Carbon Credits (Carbon Farming Initiative) (Native Forest from Managed Regrowth) Methodology Determination 2013 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00578,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was subject to at least one comprehensive clearing for pastoral use.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth","Mechanical or chemical destruction, or suppression, of regrowth",7/11/16,7/11/16,6/11/41,Queensland,4465,"3/TM40

The project is in the Maranoa local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF104441.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF104441_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,13/04/2018,12/4/18,1/11/16,CAC847943,108937,108937,0,0,0,0,0,57740,9775,9297,8721,8096,7868,7440,0,Devine Agribusiness Carbon Pty Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
DEVINE AGRIBUSINESS CARBON PTY LTD,n/a,n/a,DAC-2016-03,ERF104547,Carbon Credits (Carbon Farming Initiative) (Native Forest from Managed Regrowth) Methodology Determination 2013 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00578,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was subject to at least one comprehensive clearing for pastoral use.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth","Mechanical or chemical destruction, or suppression, of regrowth",4/11/16,4/11/16,3/11/41,Queensland,4480,"3/NK19

The project is in the Quilpie local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF104547.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF104547_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,23/04/2018,22/04/2118,1/11/16,CAC783290,33772,33772,0,0,0,0,0,10312,3630,3752,3601,3400,3232,3058,2787,Devine Agribusiness Carbon Pty Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
DEVINE AGRIBUSINESS CARBON PTY LTD,n/a,n/a,Moruya Station Carbon Project,ERF103353,Carbon Credits (Carbon Farming Initiative) (Native Forest from Managed Regrowth) Methodology Determination 2013 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00578,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was subject to at least one comprehensive clearing for pastoral use.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth","Mechanical or chemical destruction, or suppression, of regrowth",12/4/16,1/6/16,31/05/2041,Queensland,4490,"5/PR45

The project is in the Paroo local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF103353.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF103353_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,4/4/18,3/4/43,n/a,n/a,49112,49112,0,0,0,0,0,24785,4969,3736,3551,3262,3165,0,5644,Devine Agribusiness Carbon Pty Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"01/09/2016 This project was contracted in Apr-16 and CAC988369 has now been terminated or lapsed.

11/04/2017 Variation to participant name - from Colin Ward to Devine Agribusiness Carbon Pty Ltd

21/08/2017 Variation of project method - from Carbon Credits (Carbon Farming Initiative) (Human Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 to Carbon Credits (Carbon Farming Initiative) (Native Forest from Managed Regrowth) Methodology Determination 2013",No,Australia
Devine Agribusiness Carbon Pty Ltd,n/a,n/a,DAC-2015-09 (Revoked),ERF101960,Carbon Credits (Carbon Farming Initiative) (Native Forest from Managed Regrowth) Methodology Determination 2013 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00578,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was subject to at least one comprehensive clearing for pastoral use.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth","Mechanical or chemical destruction, or suppression, of regrowth",13/10/2015,13/10/2015,12/10/40,Queensland,4465,"3/MAR54

The project is in the Maranoa local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF101960.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,20/08/2021 This project has been revoked under section 30 of the CFI Rule.,Yes,Australia
Devine Agribusiness Carbon Pty Ltd,n/a,n/a,DAC-2015-15 (Revoked),ERF101954,Carbon Credits (Carbon Farming Initiative) (Native Forest from Managed Regrowth) Methodology Determination 2013 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00578,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was subject to at least one comprehensive clearing for pastoral use.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth","Mechanical or chemical destruction, or suppression, of regrowth",13/10/2015,13/10/2015,12/10/40,Queensland,4465,"2/MGL44, 1/MGL7, 4/TM61

The project is in the Maranoa local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF101954.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,1/11/15,CAC102397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,06/08/2021 This project has been revoked under section 30 of the CFI Rule.,Yes,Australia
